"","County","DistrictName","TotalTeacherCount","TotalStudentCount","TeacherToStudentRatio","StudentToTeacherRatio","COUNTYFP","fips","COUNTYN","COUNTYNS","COUNTYNS_TIGER","GEOID_TIGER","GEOID_AFF","mean(StudentToTeacherRatio)"
"168","Grays Harbor","Oakville School District",23,278,0.08273,12.08696,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"169","Pacific","Ocean Beach School District",66,1014,0.06509,15.36364,49,53049,25,1513274,1513274,53049,"0500000US53049",11.7461716666667
"170","Grays Harbor","Ocosta School District",49,609,0.08046,12.42857,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"171","Lincoln","Odessa School District",30,207,0.14493,6.9,43,53043,22,1514052,1514052,53043,"0500000US53043",9.2348425
"172","Okanogan","Okanogan School District",61,1102,0.05535,18.06557,47,53047,24,1531928,1531928,53047,"0500000US53047",16.30294
"173","Thurston","Olympia School District",577,9651,0.05979,16.72617,67,53067,34,1529226,1529226,53067,"0500000US53067",13.461519
"174","Okanogan","Omak School District",306,8399,0.03643,27.44771,47,53047,24,1531928,1531928,53047,"0500000US53047",16.30294
"175","Lewis","Onalaska School District",49,804,0.06095,16.40816,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"176","Stevens","Onion Creek School District",4,44,0.09091,11,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"177","San Juan","Orcas Island School District",64,786,0.08142,12.28125,55,53055,28,1531931,1531931,53055,"0500000US53055",9.26436
"178","Spokane","Orchard Prairie School District",7,78,0.08974,11.14286,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"179","Ferry","Orient School District",3,46,0.06522,15.33333,19,53019,10,1531821,1531821,53019,"0500000US53019",13.463788
"180","Douglas","Orondo School District",12,157,0.07643,13.08333,17,53017,9,1531818,1531818,53017,"0500000US53017",12.5557633333333
"181","Okanogan","Oroville School District",39,532,0.07331,13.64103,47,53047,24,1531928,1531928,53047,"0500000US53047",16.30294
"182","Pierce","Orting School District",150,2316,0.06477,15.44,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"183","Adams","Othello School District",277,4547,0.06092,16.41516,1,53001,1,1531601,1531601,53001,"0500000US53001",8.548654
"184","Douglas","Palisades School District",3,30,0.1,10,17,53017,9,1531818,1531818,53017,"0500000US53017",12.5557633333333
"185","Whitman","Palouse School District",28,167,0.16766,5.96429,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"186","Franklin","Pasco School District",1213,18550,0.06539,15.29266,21,53021,11,1531822,1531822,53021,"0500000US53021",10.4664875
"187","Okanogan","Pateros School District",23,288,0.07986,12.52174,47,53047,24,1531928,1531928,53047,"0500000US53047",16.30294
"188","Benton","Paterson School District",12,138,0.08696,11.5,5,53005,3,1513302,1513302,53005,"0500000US53005",15.3736633333333
"189","Lewis","Pe Ell School District",22,261,0.08429,11.86364,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"190","Pierce","Peninsula School District",603,8662,0.06961,14.36484,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"191","Mason","Pioneer School District",53,652,0.08129,12.30189,45,53045,23,1529221,1529221,53045,"0500000US53045",13.9665842857143
"192","Garfield","Pomeroy School District",22,322,0.06832,14.63636,23,53023,12,1533500,1533500,53023,"0500000US53023",14.63636
"193","Clallam","Port Angeles School District",229,3426,0.06684,14.9607,9,53009,5,1531341,1531341,53009,"0500000US53009",12.328024
"194","Jefferson","Port Townsend School District",82,1141,0.07187,13.91463,31,53031,16,1531936,1531936,53031,"0500000US53031",12.602322
"195","Walla Walla","Prescott School District",20,253,0.07905,12.65,71,53071,36,1531819,1531819,53071,"0500000US53071",13.3831125
"196","Benton","Prosser School District",173,2529,0.06841,14.6185,5,53005,3,1513302,1513302,53005,"0500000US53005",15.3736633333333
"197","Whitman","Pullman School District",173,2631,0.06575,15.20809,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"198","Jefferson","Quilcene School District",36,544,0.06618,15.11111,31,53031,16,1531936,1531936,53031,"0500000US53031",12.602322
"199","Pierce","Puyallup School District",1334,22290,0.05985,16.70915,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"200","Jefferson","Queets-Clearwater School District",3,28,0.10714,9.33333,31,53031,16,1531936,1531936,53031,"0500000US53031",12.602322
"201","Clallam","Quillayute Valley School District",235,3298,0.07126,14.03404,9,53009,5,1531341,1531341,53009,"0500000US53009",12.328024
"202","Grays Harbor","Lake Quinault School District",21,194,0.10825,9.2381,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"203","Grant","Quincy School District",187,3032,0.06168,16.2139,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
"204","Thurston","Rainier School District",56,868,0.06452,15.5,67,53067,34,1529226,1529226,53067,"0500000US53067",13.461519
"205","Pacific","Raymond School District",37,538,0.06877,14.54054,49,53049,25,1513274,1513274,53049,"0500000US53049",11.7461716666667
"206","Lincoln","Reardan-Edwall School District",45,659,0.06829,14.64444,43,53043,22,1514052,1514052,53043,"0500000US53043",9.2348425
"207","King","Renton School District",940,15313,0.06139,16.29043,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"208","Ferry","Republic School District",23,364,0.06319,15.82609,19,53019,10,1531821,1531821,53019,"0500000US53019",13.463788
"209","Benton","Richland School District",767,13570,0.05652,17.69231,5,53005,3,1513302,1513302,53005,"0500000US53005",15.3736633333333
"210","Clark","Ridgefield School District",205,3344,0.0613,16.3122,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"211","Adams","Ritzville School District",33,321,0.1028,9.72727,1,53001,1,1531601,1531601,53001,"0500000US53001",8.548654
"212","Spokane","Riverside School District",94,1389,0.06767,14.7766,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"213","King","Riverview School District",194,3083,0.06293,15.89175,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"214","Thurston","Rochester School District",139,2179,0.06379,15.67626,67,53067,34,1529226,1529226,53067,"0500000US53067",13.461519
"215","Klickitat","Roosevelt School District",2,35,0.05714,17.5,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"216","Whitman","Rosalia School District",17,172,0.09884,10.11765,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"217","Mason","Shelton School District",298,4258,0.06999,14.28859,45,53045,23,1529221,1529221,53045,"0500000US53045",13.9665842857143
"218","Grant","Royal School District",105,1758,0.05973,16.74286,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
